from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
VIE,Austria,IST,Turkey,Boeing 737,TK,[Turkish Airlines],TK1886,2022-05-06 14:00:00,2022-05-06 17:20:00,140,0,173.0,USD,175000.0,143000.0,22%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321,TK,[Turkish Airlines],TK1884,2022-05-06 10:30:00,2022-05-06 13:55:00,145,0,174.0,USD,164000.0,143000.0,14%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 42/72|Airbus A320,JU,[Air Serbia],JU601|JU601,2022-05-06 09:45:00,2022-05-06 14:55:00,250,1,245.0,USD,230000.0,143000.0,60%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321,TK,[Turkish Airlines],TK1888,2022-05-06 19:50:00,2022-05-06 23:15:00,145,0,317.0,USD,167000.0,143000.0,16%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 72|Airbus A321,multi,[TAROM| Turkish Airlines],RO342|RO342,2022-05-06 09:40:00,2022-05-06 16:45:00,365,1,173.0,USD,176000.0,143000.0,23%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,,multi,[SunExpress| Turkish Airlines],XQ981|XQ981,2022-05-06 14:25:00,2022-05-06 22:55:00,450,1,177.0,USD,222000.0,143000.0,55%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 42/72|Airbus A320,JU,[Air Serbia],JU605|JU605,2022-05-06 20:45:00,2022-05-07 16:10:00,1105,1,185.0,USD,177000.0,143000.0,23%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,,multi,[SunExpress| Turkish Airlines],XQ981|XQ981,2022-05-06 14:25:00,2022-05-06 21:10:00,345,1,185.0,USD,222000.0,143000.0,55%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320neo,A3,[Aegean],A3863|A3863,2022-05-06 17:55:00,2022-05-07 20:00:00,1505,1,190.0,USD,219000.0,143000.0,53%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,,multi,[SunExpress| Turkish Airlines],XQ191|XQ191,2022-05-06 14:55:00,2022-05-07 01:45:00,590,1,193.0,USD,264000.0,143000.0,84%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 72|Airbus A318,RO,[TAROM],RO342|RO342,2022-05-06 09:40:00,2022-05-07 09:50:00,1390,1,194.0,USD,188000.0,143000.0,31%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A321neo,LH,[Lufthansa],LH1247|LH1247,2022-05-06 06:10:00,2022-05-06 16:55:00,585,1,223.0,USD,265000.0,143000.0,85%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo,multi,[Austrian| Lufthansa],OS121|OS121,2022-05-06 07:10:00,2022-05-06 16:55:00,525,1,223.0,USD,260000.0,143000.0,81%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A321neo,LH,[Lufthansa],LH1233|LH1233,2022-05-06 09:10:00,2022-05-06 16:55:00,405,1,223.0,USD,265000.0,143000.0,85%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo,multi,[Austrian| Lufthansa],OS129|OS129,2022-05-06 10:10:00,2022-05-06 16:55:00,345,1,223.0,USD,260000.0,143000.0,81%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A319,A3,[Aegean],A3863|A3863,2022-05-06 17:55:00,2022-05-07 09:50:00,895,1,225.0,USD,250000.0,143000.0,75%,2022-04-29 17:52:59
